Question;Options;Correct;Selected
En ogenomtänkt användning av delat minne (eng. Shared Memory) kan leda till problemet Race Condition som kan medföra att  _____ ?;Det multi-trådade programmet går betydligt långsammare än nödvändigt.|Parallell uppdatering av delad data blir inte korrekt så som det var tänkt.|Det kan uppstå korrupt data i slumpmässiga adresser i det delade minnet.|Alla trådar i programmet kraschar samtidigt vid åtkomst av delat minne.;Parallell uppdatering av delad data blir inte korrekt så som det var tänkt.;Parallell uppdatering av delad data blir inte korrekt så som det var tänkt.
Mekanismer för konstruktion av lås (eng. Mutual Exclusion) kan implementeras med hjälp av _______ ?;iv. Flaggor och semaforer (eng. Semaphores).|i. Skickande och mottagande av meddelanden (eng. Messsage Passing).|iii. Atomiska instruktioner (eng. Atomic Operations).|ii. Läsande och skrivande till ett antal delade variabler.;iii. Atomiska instruktioner (eng. Atomic Operations).;
Metoderna inom klassen Monitor inom namnrymden (eng. Namespace) System.Threading, används ofta tillsammans parvis som exempelvis _______ ?;iii. Monitor.Enter och Monitor.Pulse.|ii. Monitor.Wait och Monitor.PulseAll.|i. Monitor.Enter och Monitor.Exit.|iv. Monitor.Lock och Monitor.UnLock.;ii. Monitor.Wait och Monitor.PulseAll.|i. Monitor.Enter och Monitor.Exit.;
Loop-strukturer kan parallelliseras med hjälp av metoderna _____ inom namnrymden (eng. Namespace) System.Thread.Tasks ?;ii. Parallel.ForEach|i. Parallel.For|iv. Parallel.While|iii. Parallel.Repeat;ii. Parallel.ForEach|i. Parallel.For;
En huvudanledning till att det är nödvändigt att parallellisera program för att de skall kunna exekveras allt snabbare i framtiden är att  _____ ?;Processorernas kärnor blir inte signifikant mycket snabbare längre.|Antalet transistorer i en enskild mikroprocessor ökar med tiden.|De enskilda trådarnas minne annars inte räcker till hela programmet.|Strömförbrukningen ökar dramatiskt med högre klockfrekvenser.;Strömförbrukningen ökar dramatiskt med högre klockfrekvenser.|Processorernas kärnor blir inte signifikant mycket snabbare längre.;
Förutom att en abstrakt datatyp är trådsäker förväntas vanligtvis att den delade datastrukturen har egenskapen _______ sett till operationernas semantik?;iv. Concurrency.|i. Linearizability.|ii. Sequenceability.|iii. Consistency.;i. Linearizability.;
Non-Blocking Synchronization är en kategori av egenskaper och mekanismer för synkronisering, och kan delas in i underkategorierna _____ ?;iii. Wait-Free Synchronization.|i. Lock-Free Synchronization.|ii. Mutual-Exclusion Synchronization.|iv. Semaphore Synchronization.;iii. Wait-Free Synchronization.|i. Lock-Free Synchronization.;
Lås (eng. Mutual Exclusion) inbegriper och är nära relaterat till olika fenomen och begrepp som exempelvis  _______ ?;ii. Embarrising Parallelism.|i. High Processor Utilization.|iii. Deadlock.|iv. Race Condition.;iii. Deadlock.|iv. Race Condition.;
De olika principer för parallell programmering som stöds av ramverket Task Parallel Library (TPL) är _____ ?;i. Embarrasing Parallelism.|iv. Data Parallelism.|ii. Distributed Parallelism.|iii. Task Parallelism.;iii. Task Parallelism.|iv. Data Parallelism.;
För att inte begränsa den möjliga prestandan och skalbarheten för parallella program, är det viktigt att försöka minska antalet _______ ?;iv. Skrivningar till spridda adresser på delat minne.|iii. Operationer som använder lokalt minne.|ii. Atomiska instruktioner (eng. Atomic Operations).|i. Läsningar till spridda adresser på delat minne.;i. Läsningar till spridda adresser på delat minne.|iv. Skrivningar till spridda adresser på delat minne.|ii. Atomiska instruktioner (eng. Atomic Operations).;
